,Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Total Liabilities Net Minority Interest,Total Assets,ticker,date,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
16,282735.0,282735.0,-14870245.0,13610873.0,-14836333.0,80475.0,8143692.0,114387.0,114387.0,17807699.0,17922086.0,RELIW,2020-12-31,RELIW,"Reliance Global Group, Inc. - Series A Warrants",S,N,N,100.0,N,N
17,274363.0,274363.0,-14573780.0,13371968.0,-14539868.0,608412.0,9064065.0,642324.0,642324.0,16350709.0,16993033.0,RELIW,2019-12-31,RELIW,"Reliance Global Group, Inc. - Series A Warrants",S,N,N,100.0,N,N
18,7149884.0,7149884.0,109644000.0,211154000.0,109644000.0,211154000.0,211154000.0,211154000.0,211154000.0,339763000.0,550917000.0,CRAI,2022-12-31,CRAI,"CRA International,Inc. - Common Stock",Q,N,N,100.0,N,N
19,7362703.0,7362703.0,112717000.0,205834000.0,112717000.0,205834000.0,205834000.0,205834000.0,205834000.0,349526000.0,555360000.0,CRAI,2021-12-31,CRAI,"CRA International,Inc. - Common Stock",Q,N,N,100.0,N,N
20,7693497.0,7693497.0,114724000.0,209019000.0,114724000.0,209019000.0,209019000.0,209019000.0,209019000.0,349491000.0,558510000.0,CRAI,2020-12-31,CRAI,"CRA International,Inc. - Common Stock",Q,N,N,100.0,N,N
21,7814797.0,7814797.0,102771000.0,197751000.0,102771000.0,197751000.0,197751000.0,197751000.0,197751000.0,335492000.0,533243000.0,CRAI,2019-12-31,CRAI,"CRA International,Inc. - Common Stock",Q,N,N,100.0,N,N
22,31625000.0,31625000.0,-7308225.0,-7308225.0,-7308225.0,-7308225.0,-7308225.0,-7308225.0,-7308225.0,12872945.0,5564720.0,RCLF,2022-12-31,RCLF,Rosecliff Acquisition Corp I - Class A Common Stock,S,N,D,100.0,N,N
23,31625000.0,31625000.0,232175203.0,232175203.0,232175203.0,232175203.0,232175203.0,232175203.0,232175203.0,21934594.0,254109797.0,RCLF,2021-12-31,RCLF,Rosecliff Acquisition Corp I - Class A Common Stock,S,N,D,100.0,N,N
24,31625000.0,31625000.0,24325.0,64325.0,24325.0,24325.0,24325.0,24325.0,24325.0,140574.0,164899.0,RCLF,2020-12-31,RCLF,Rosecliff Acquisition Corp I - Class A Common Stock,S,N,D,100.0,N,N
25,2980450.0,2980450.0,7005878.0,9402662.0,7005878.0,7005878.0,9402662.0,7005878.0,7005878.0,6469277.0,13475155.0,ASPAW,2022-12-31,ASPAW,"Abri SPAC I, Inc. - Warrant",S,N,D,100.0,N,N
26,7461998.0,7461998.0,55458341.0,55458341.0,55458341.0,55458341.0,55458341.0,55458341.0,55458341.0,2358398.0,57816739.0,ASPAW,2021-12-31,ASPAW,"Abri SPAC I, Inc. - Warrant",S,N,D,100.0,N,N
27,7750000.0,7750000.0,15072478.0,15235691.0,15072478.0,15235691.0,15235691.0,15235691.0,15235691.0,5703843.0,20939534.0,ZJYL,2022-09-30,ZJYL,JIN MEDICAL INTERNATIONAL LTD. - Ordinary Shares,S,N,N,100.0,N,N
28,7750000.0,7750000.0,13843784.0,14028885.0,13843784.0,14028885.0,14028885.0,14028885.0,14028885.0,7872080.0,21900965.0,ZJYL,2021-09-30,ZJYL,JIN MEDICAL INTERNATIONAL LTD. - Ordinary Shares,S,N,N,100.0,N,N
29,7750000.0,7750000.0,10621572.0,13449709.0,10621572.0,10802463.0,10802463.0,10802463.0,10802463.0,10012753.0,20815216.0,ZJYL,2020-09-30,ZJYL,JIN MEDICAL INTERNATIONAL LTD. - Ordinary Shares,S,N,N,100.0,N,N
30,71249045.0,128683824.0,-61346000.0,2129649000.0,-61346000.0,2029649000.0,2129649000.0,2029649000.0,2029649000.0,790911000.0,2820560000.0,NTCT,2023-03-31,NTCT,"NetScout Systems, Inc. - Common Stock",Q,N,N,100.0,N,N
31,74102293.0,126425383.0,-95080000.0,2411495000.0,-95080000.0,2061495000.0,2411495000.0,2061495000.0,2061495000.0,1133214000.0,3194709000.0,NTCT,2022-03-31,NTCT,"NetScout Systems, Inc. - Common Stock",Q,N,N,100.0,N,N
32,73751615.0,124197974.0,-223641000.0,2355779000.0,-223641000.0,2005779000.0,2355779000.0,2005779000.0,2005779000.0,1079259000.0,3085038000.0,NTCT,2021-03-31,NTCT,"NetScout Systems, Inc. - Common Stock",Q,N,N,100.0,N,N
33,72220906.0,122006077.0,-369940000.0,2387919000.0,-369940000.0,1937919000.0,2387919000.0,1937919000.0,1937919000.0,1182584000.0,3120503000.0,NTCT,2020-03-31,NTCT,"NetScout Systems, Inc. - Common Stock",Q,N,N,100.0,N,N
34,25208436.0,25208436.0,84275000.0,84740000.0,84275000.0,84740000.0,84740000.0,84740000.0,84740000.0,13524000.0,98264000.0,RCEL,2022-12-31,RCEL,"Avita Medical, Inc. - Common Stock",S,N,N,100.0,N,N
35,24895864.0,24895864.0,115183000.0,115655000.0,115183000.0,115655000.0,115655000.0,115655000.0,115655000.0,9846000.0,125501000.0,RCEL,2021-06-30,RCEL,"Avita Medical, Inc. - Common Stock",S,N,N,100.0,N,N
36,21467912.0,21467912.0,72037000.0,72401000.0,72037000.0,72401000.0,72401000.0,72401000.0,72401000.0,10061000.0,82462000.0,RCEL,2020-06-30,RCEL,"Avita Medical, Inc. - Common Stock",S,N,N,100.0,N,N
37,35937500.0,35937500.0,280272194.0,280361044.0,280272194.0,280272194.0,280272194.0,280272194.0,280272194.0,10795319.0,291067513.0,GAMCW,2022-12-31,GAMCW,Golden Arrow Merger Corp. - Warrant,S,N,N,100.0,N,N
38,35937500.0,35937500.0,270425483.0,270566850.0,270425483.0,270425483.0,270425483.0,270425483.0,270425483.0,17810316.0,288235799.0,GAMCW,2021-12-31,GAMCW,Golden Arrow Merger Corp. - Warrant,S,N,N,100.0,N,N
39,53813777.0,53813777.0,12604000.0,488524000.0,12604000.0,291813000.0,407256000.0,296249000.0,291813000.0,341280000.0,637529000.0,HFFG,2022-12-31,HFFG,HF Foods Group Inc. - Common Stock,S,N,N,100.0,N,N
40,53706392.0,53706392.0,15639000.0,455943000.0,15639000.0,290948000.0,377259000.0,294989000.0,290948000.0,301957000.0,596946000.0,HFFG,2021-12-31,HFFG,HF Foods Group Inc. - Common Stock,S,N,N,100.0,N,N
41,51913411.0,51913411.0,16124295.0,394202757.0,16124295.0,260433886.0,355442689.0,264801433.0,260433886.0,219483650.0,484285083.0,HFFG,2020-12-31,HFFG,HF Foods Group Inc. - Common Stock,S,N,N,100.0,N,N
42,52145096.0,53050211.0,10016647.0,680891006.0,10016647.0,603407945.0,621942961.0,607656732.0,603407945.0,195187062.0,802843794.0,HFFG,2019-12-31,HFFG,HF Foods Group Inc. - Common Stock,S,N,N,100.0,N,N
43,125902000.0,125902000.0,1085978000.0,2615740000.0,1085978000.0,1128555000.0,2599240000.0,1128555000.0,1128555000.0,1825456000.0,2954011000.0,IRDM,2022-12-31,IRDM,Iridium Communications Inc - Common Stock,Q,N,N,100.0,N,N
44,131342000.0,131342000.0,1243948000.0,2885963000.0,1243948000.0,1287947000.0,2869463000.0,1287947000.0,1287947000.0,1892848000.0,3180795000.0,IRDM,2021-12-31,IRDM,Iridium Communications Inc - Common Stock,Q,N,N,100.0,N,N
45,134056000.0,134056000.0,1373935000.0,3033098000.0,1373935000.0,1419439000.0,3016332000.0,1419439000.0,1419439000.0,1941510000.0,3360949000.0,IRDM,2020-12-31,IRDM,Iridium Communications Inc - Common Stock,Q,N,N,100.0,N,N
46,131632000.0,131632000.0,1412305000.0,3235652000.0,1412305000.0,1459282000.0,3224777000.0,1459282000.0,1459282000.0,2164275000.0,3623557000.0,IRDM,2019-12-31,IRDM,Iridium Communications Inc - Common Stock,Q,N,N,100.0,N,N
47,20084528.0,20084528.0,37161085.0,47685490.0,37161085.0,44323749.0,44733043.0,44323749.0,44323749.0,12040822.0,56364571.0,OSS,2022-12-31,OSS,"One Stop Systems, Inc. - Common Stock",S,N,N,100.0,N,N
48,18772214.0,18772214.0,34732821.0,45684892.0,34732821.0,41958716.0,41958716.0,41958716.0,41958716.0,9631723.0,51590439.0,OSS,2021-12-31,OSS,"One Stop Systems, Inc. - Common Stock",S,N,N,100.0,N,N
49,16684424.0,16684424.0,21503066.0,34670899.0,21503066.0,29285833.0,31316540.0,29285833.0,29285833.0,9842930.0,39128763.0,OSS,2020-12-31,OSS,"One Stop Systems, Inc. - Common Stock",S,N,N,100.0,N,N
50,16121747.0,16121747.0,20298960.0,31054098.0,20298960.0,28765662.0,29114906.0,28766162.0,28765662.0,11011845.0,39778007.0,OSS,2019-12-31,OSS,"One Stop Systems, Inc. - Common Stock",S,N,N,100.0,N,N
51,71819926.0,71819926.0,133532000.0,138290000.0,133532000.0,133532000.0,138290000.0,359826000.0,133532000.0,78546000.0,438372000.0,ASTS,2022-12-31,ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
52,51730904.0,51730904.0,96396000.0,105279000.0,96396000.0,100279000.0,105279000.0,351972000.0,100279000.0,91964000.0,443936000.0,ASTS,2021-12-31,ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
53,51729704.0,51729704.0,-39052000.0,-34614000.0,73059000.0,-34614000.0,77497000.0,79987000.0,77497000.0,19658000.0,99645000.0,ASTS,2020-12-31,ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
54,31625000.0,31625000.0,-7308225.0,-7308225.0,-7308225.0,-7308225.0,-7308225.0,-7308225.0,-7308225.0,12872945.0,5564720.0,RCLFU,2022-12-31,RCLFU,"Rosecliff Acquisition Corp I - Units, consisting of one share Class A common stock and one-third redeemable warrants",S,N,D,100.0,N,N
55,31625000.0,31625000.0,232175203.0,232175203.0,232175203.0,232175203.0,232175203.0,232175203.0,232175203.0,21934594.0,254109797.0,RCLFU,2021-12-31,RCLFU,"Rosecliff Acquisition Corp I - Units, consisting of one share Class A common stock and one-third redeemable warrants",S,N,D,100.0,N,N
56,31625000.0,31625000.0,24325.0,64325.0,24325.0,24325.0,24325.0,24325.0,24325.0,140574.0,164899.0,RCLFU,2020-12-31,RCLFU,"Rosecliff Acquisition Corp I - Units, consisting of one share Class A common stock and one-third redeemable warrants",S,N,D,100.0,N,N
57,54453397.0,54453397.0,30243922.0,55923465.0,30253789.0,54599758.0,55011194.0,54609625.0,54609625.0,5583465.0,60193090.0,RCAT,2023-04-30,RCAT,"Red Cat Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
58,53748735.0,53748735.0,50068524.0,79836409.0,50078391.0,77905805.0,78889379.0,77915672.0,77915672.0,7162953.0,85078625.0,RCAT,2022-04-30,RCAT,"Red Cat Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
59,29431264.0,29431264.0,-4804481.0,7267066.0,-4783207.0,5245021.0,7019295.0,5266295.0,5266295.0,6427070.0,11693365.0,RCAT,2021-04-30,RCAT,"Red Cat Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
60,20011091.0,20011091.0,-995978.0,2058866.0,-957075.0,1490095.0,1978998.0,1528998.0,1528998.0,1279266.0,2808264.0,RCAT,2020-04-30,RCAT,"Red Cat Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
61,29967872.0,29967872.0,126421819.0,127721819.0,126421819.0,126421819.0,126421819.0,126421819.0,126421819.0,26629156.0,153050975.0,BTWNU,2022-12-31,BTWNU,Bridgetown Holdings Limited - Units,S,N,N,100.0,N,N
62,74374189.0,74374189.0,550843416.0,551643416.0,550843416.0,550843416.0,550843416.0,550843416.0,550843416.0,45319901.0,596163317.0,BTWNU,2021-12-31,BTWNU,Bridgetown Holdings Limited - Units,S,N,N,100.0,N,N
63,74374189.0,74374189.0,577953004.0,578253004.0,577953004.0,577953004.0,577953004.0,577953004.0,577953004.0,19102228.0,597055232.0,BTWNU,2020-12-31,BTWNU,Bridgetown Holdings Limited - Units,S,N,N,100.0,N,N
64,10700106.0,12171512.0,35669432.0,61327955.0,35669432.0,36169432.0,61327955.0,36169432.0,36169432.0,284163099.0,320332531.0,KINS,2022-12-31,KINS,"Kingstone Companies, Inc - Common Stock",S,N,N,100.0,N,N
65,10484254.0,11955660.0,75172194.0,105495985.0,75172194.0,75672194.0,105495985.0,75672194.0,75672194.0,255640081.0,331312275.0,KINS,2021-12-31,KINS,"Kingstone Companies, Inc - Common Stock",S,N,N,100.0,N,N
66,10616815.0,11871307.0,92300402.0,122448013.0,92300402.0,92800402.0,122448013.0,92800402.0,92800402.0,224781865.0,317582267.0,KINS,2020-12-31,KINS,"Kingstone Companies, Inc - Common Stock",S,N,N,100.0,N,N
67,10797450.0,11824889.0,87721581.0,117693012.0,87721581.0,88221581.0,117693012.0,88221581.0,88221581.0,232981231.0,321202812.0,KINS,2019-12-31,KINS,"Kingstone Companies, Inc - Common Stock",S,N,N,100.0,N,N
68,364745266.0,364745266.0,-679810000.0,409354000.0,-679810000.0,-483689000.0,288552000.0,-467710000.0,-483689000.0,1292642000.0,824932000.0,AMRS,2022-12-31,AMRS,"Amyris, Inc. - Common Stock",Q,N,N,100.0,N,N
69,308899906.0,308899906.0,80915000.0,668823000.0,80915000.0,251439000.0,560500000.0,279208000.0,251439000.0,675090000.0,954298000.0,AMRS,2021-12-31,AMRS,"Amyris, Inc. - Common Stock",Q,N,N,100.0,N,N
70,244951446.0,244951446.0,-171819000.0,91240000.0,-171819000.0,-171819000.0,13803000.0,-167045000.0,-171819000.0,389859000.0,222814000.0,AMRS,2020-12-31,AMRS,"Amyris, Inc. - Common Stock",Q,N,N,100.0,N,N
71,117742677.0,117742677.0,-250777000.0,10995000.0,-250777000.0,-250777000.0,-52810000.0,-250168000.0,-250777000.0,411134000.0,160966000.0,AMRS,2019-12-31,AMRS,"Amyris, Inc. - Common Stock",Q,N,N,100.0,N,N
72,17226000.0,17226000.0,32714000.0,32714000.0,32714000.0,32714000.0,32714000.0,32714000.0,32714000.0,9370000.0,42084000.0,MRIN,2022-12-31,MRIN,Marin Software Incorporated - Common Stock,G,N,D,100.0,N,N
73,15532000.0,15532000.0,46258000.0,49578000.0,46258000.0,46258000.0,47352000.0,46258000.0,46258000.0,13573000.0,59831000.0,MRIN,2021-12-31,MRIN,Marin Software Incorporated - Common Stock,G,N,D,100.0,N,N
74,9743000.0,9743000.0,15815000.0,19135000.0,15815000.0,15815000.0,17281000.0,15815000.0,15815000.0,21194000.0,37009000.0,MRIN,2020-12-31,MRIN,Marin Software Incorporated - Common Stock,G,N,D,100.0,N,N
75,6810000.0,6810000.0,20965000.0,21060000.0,20965000.0,21060000.0,21060000.0,21060000.0,21060000.0,21233000.0,42293000.0,MRIN,2019-12-31,MRIN,Marin Software Incorporated - Common Stock,G,N,D,100.0,N,N
76,5324080.0,5324080.0,12557369.0,15137348.0,12557369.0,12557369.0,12557369.0,12557369.0,12557369.0,8662086.0,21219455.0,MBTCU,2022-12-31,MBTCU,Nocturne Acquisition Corporation - Unit,S,N,N,100.0,N,N
77,14840000.0,14840000.0,112362128.0,112362128.0,112362128.0,112362128.0,112362128.0,112362128.0,112362128.0,4287184.0,116649312.0,MBTCU,2021-12-31,MBTCU,Nocturne Acquisition Corporation - Unit,S,N,N,100.0,N,N
78,14840000.0,14840000.0,19400.0,112500.0,19400.0,19400.0,19400.0,19400.0,19400.0,130600.0,150000.0,MBTCU,2020-12-31,MBTCU,Nocturne Acquisition Corporation - Unit,S,N,N,100.0,N,N
79,59753000.0,72960000.0,667983000.0,777416000.0,667983000.0,1901122000.0,2610882000.0,1901122000.0,1901122000.0,1905324000.0,3806446000.0,WWD,2022-09-30,WWD,"Woodward, Inc. - Common Stock",Q,N,N,100.0,N,N
80,63258000.0,72960000.0,850159000.0,734850000.0,850159000.0,2214781000.0,2948903000.0,2214781000.0,2214781000.0,1876223000.0,4091004000.0,WWD,2021-09-30,WWD,"Woodward, Inc. - Common Stock",Q,N,N,100.0,N,N
81,62484000.0,72960000.0,577714000.0,838483000.0,577714000.0,1992677000.0,2729526000.0,1992677000.0,1992677000.0,1910659000.0,3903336000.0,WWD,2020-09-30,WWD,"Woodward, Inc. - Common Stock",Q,N,N,100.0,N,N
82,61709000.0,72960000.0,316896000.0,1084899000.0,316896000.0,1726741000.0,2591640000.0,1726741000.0,1726741000.0,2229785000.0,3956526000.0,WWD,2019-09-30,WWD,"Woodward, Inc. - Common Stock",Q,N,N,100.0,N,N
83,21107968.0,21107968.0,-3833000.0,76291000.0,-3833000.0,69534000.0,76182000.0,69534000.0,69534000.0,34854000.0,104388000.0,BRAG,2022-12-31,BRAG,Bragg Gaming Group Inc. - Common Shares,Q,N,N,100.0,N,N
84,19973462.0,19973462.0,10622000.0,66195000.0,10622000.0,66195000.0,66195000.0,66195000.0,66195000.0,17195000.0,83390000.0,BRAG,2021-12-31,BRAG,Bragg Gaming Group Inc. - Common Shares,Q,N,N,100.0,N,N
85,13111248.0,13111248.0,5680000.0,39897000.0,5680000.0,39897000.0,39897000.0,39897000.0,39897000.0,32197000.0,72094000.0,BRAG,2020-12-31,BRAG,Bragg Gaming Group Inc. - Common Shares,Q,N,N,100.0,N,N
86,7986385.0,7986385.0,-27883000.0,6616000.0,-27883000.0,6616000.0,6616000.0,6616000.0,6616000.0,37264000.0,43880000.0,BRAG,2019-12-31,BRAG,Bragg Gaming Group Inc. - Common Shares,Q,N,N,100.0,N,N
87,2063308.0,2070861.0,3013000.0,3617000.0,3013000.0,3617000.0,3617000.0,3617000.0,3617000.0,2044000.0,5661000.0,OBLG,2022-12-31,OBLG,Oblong Inc. - Common Stock,S,N,N,100.0,N,N
88,2054403.0,2061955.0,10568000.0,25497000.0,10568000.0,25497000.0,25497000.0,25497000.0,25497000.0,3110000.0,28607000.0,OBLG,2021-12-31,OBLG,Oblong Inc. - Common Stock,S,N,N,100.0,N,N
89,516575.0,524128.0,4550000.0,2417000.0,4550000.0,22057000.0,22460000.0,22057000.0,22057000.0,7086000.0,29143000.0,OBLG,2020-12-31,OBLG,Oblong Inc. - Common Stock,S,N,N,100.0,N,N
90,344100.0,351120.0,1306000.0,27292000.0,1306000.0,21785000.0,24628000.0,21785000.0,21785000.0,13124000.0,34909000.0,OBLG,2019-12-31,OBLG,Oblong Inc. - Common Stock,S,N,N,100.0,N,N
91,9448000.0,9448000.0,16000.0,383462.0,16000.0,16000.0,16000.0,16000.0,16000.0,664816.0,680816.0,DISTW,2022-12-31,DISTW,Distoken Acquisition Corporation - Warrant,G,N,N,100.0,N,N
92,8245000.0,8245000.0,18155.0,168155.0,18155.0,18155.0,18155.0,18155.0,18155.0,238029.0,256184.0,DISTW,2021-12-31,DISTW,Distoken Acquisition Corporation - Warrant,G,N,N,100.0,N,N
93,8245000.0,8245000.0,18137.0,131008.0,18137.0,18137.0,18137.0,18137.0,18137.0,126338.0,144475.0,DISTW,2020-12-31,DISTW,Distoken Acquisition Corporation - Warrant,G,N,N,100.0,N,N
94,55023343.0,57873847.0,138032000.0,142337000.0,138032000.0,142337000.0,142337000.0,142337000.0,142337000.0,151583000.0,293920000.0,SPT,2022-12-31,SPT,"Sprout Social, Inc - Class A Common Stock",S,N,N,100.0,N,N
95,54153771.0,56973227.0,139866000.0,145210000.0,139866000.0,145210000.0,145210000.0,145210000.0,145210000.0,119507000.0,264717000.0,SPT,2021-12-31,SPT,"Sprout Social, Inc - Class A Common Stock",S,N,N,100.0,N,N
96,53266472.0,56065976.0,145712000.0,152099000.0,145712000.0,152099000.0,152099000.0,152099000.0,152099000.0,87570000.0,239669000.0,SPT,2020-12-31,SPT,"Sprout Social, Inc - Class A Common Stock",S,N,N,100.0,N,N
97,51518803.0,54192608.0,120349000.0,128130000.0,120349000.0,128130000.0,128130000.0,128130000.0,128130000.0,61461000.0,189591000.0,SPT,2019-12-31,SPT,"Sprout Social, Inc - Class A Common Stock",S,N,N,100.0,N,N
98,386169425.0,390111556.0,-5571155000.0,18553547000.0,-5571155000.0,8369211000.0,15853547000.0,8554620000.0,8369211000.0,14515358000.0,23069978000.0,OMAB,2022-12-31,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares,Q,N,N,100.0,N,N
99,386169425.0,390111556.0,-624723000.0,18752583000.0,-624723000.0,11055961000.0,16052583000.0,11238232000.0,11055961000.0,11650909000.0,22889141000.0,OMAB,2021-12-31,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares,Q,N,N,100.0,N,N
100,390111556.0,390111556.0,420685000.0,15160729000.0,420685000.0,10650341000.0,12147227000.0,10826247000.0,10650341000.0,7309642000.0,18135889000.0,OMAB,2020-12-31,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares,Q,N,N,100.0,N,N
101,391300815.0,393770973.0,447999000.0,14258719000.0,447999000.0,9715110000.0,14221868000.0,9887495000.0,9715110000.0,7389466000.0,17276961000.0,OMAB,2019-12-31,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares,Q,N,N,100.0,N,N
102,65113575.0,65113575.0,67449113.0,52414000.0,67449113.0,67449113.0,67449113.0,52414000.0,67449113.0,89593792.0,89593792.0,FRLN,2022-12-31,FRLN,Freeline Therapeutics Holdings plc - ADSs,S,N,N,100.0,N,N
103,35854591.0,35854591.0,120433000.0,120441000.0,120433000.0,120441000.0,120441000.0,120441000.0,120441000.0,20684000.0,141125000.0,FRLN,2021-12-31,FRLN,Freeline Therapeutics Holdings plc - ADSs,S,N,N,100.0,N,N
104,35854945.0,35854945.0,249777000.0,249800000.0,249777000.0,249800000.0,249800000.0,249800000.0,249800000.0,18812000.0,268612000.0,FRLN,2020-12-31,FRLN,Freeline Therapeutics Holdings plc - ADSs,S,N,N,100.0,N,N
105,35854945.0,35854945.0,84912000.0,84955000.0,84913000.0,84955000.0,84956000.0,84956000.0,84956000.0,12434000.0,97390000.0,FRLN,2019-12-31,FRLN,Freeline Therapeutics Holdings plc - ADSs,S,N,N,100.0,N,N
106,13202000.0,13202000.0,9551000.0,26895000.0,9551000.0,11895000.0,11895000.0,11895000.0,11895000.0,20691000.0,32586000.0,QUIK,2022-12-31,QUIK,QuickLogic Corporation - Common Stock,S,N,N,100.0,N,N
107,11863000.0,11863000.0,7031000.0,24209000.0,7031000.0,9209000.0,9209000.0,9209000.0,9209000.0,19764000.0,28973000.0,QUIK,2021-12-31,QUIK,QuickLogic Corporation - Common Stock,S,N,N,100.0,N,N
108,11094000.0,11094000.0,10456000.0,28679000.0,10456000.0,12487000.0,13679000.0,12487000.0,12487000.0,20401000.0,32888000.0,QUIK,2020-12-31,QUIK,QuickLogic Corporation - Common Stock,S,N,N,100.0,N,N
109,8331000.0,8331000.0,12297000.0,28823000.0,12297000.0,13823000.0,13823000.0,13823000.0,13823000.0,19581000.0,33404000.0,QUIK,2019-12-31,QUIK,QuickLogic Corporation - Common Stock,S,N,N,100.0,N,N
110,93353546.0,101727658.0,357577000.0,372337000.0,357727000.0,372337000.0,372487000.0,372487000.0,372487000.0,201855000.0,574342000.0,FIZZ,2023-04-30,FIZZ,National Beverage Corp. - Common Stock,Q,N,N,100.0,N,N
111,93338246.0,101712358.0,224528000.0,269288000.0,224678000.0,239288000.0,269438000.0,239438000.0,239438000.0,228366000.0,467804000.0,FIZZ,2022-04-30,FIZZ,National Beverage Corp. - Common Stock,Q,N,N,100.0,N,N
